id,host id,host_identity_verified,host name,neighbourhood group,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,review rate number,calculated host listings count,availability 365
1001254,80014485718,unconfirmed,Madaline,Brooklyn,FALSE,strict,Private room,2020,$966 ,$193 ,10,9,10/19/2021,4,6,286
1002102,52335172823,verified,Jenna,Manhattan,FALSE,moderate,Entire home/apt,2007,$142 ,$28 ,30,45,5/21/2022,4,2,228
1002403,78829239556,,Elise,Manhattan,TRUE,flexible,Private room,2005,$620 ,$124 ,3,0,,5,1,352
1002755,85098326012,unconfirmed,Garry,Brooklyn,TRUE,moderate,Entire home/apt,2005,$368 ,$74 ,30,270,07/05/2019,4,1,322
1003689,92037596077,verified,Lyndon,Manhattan,FALSE,moderate,Entire home/apt,2009,$204 ,$41 ,10,9,11/19/2018,3,1,289
1004098,45498551794,verified,Michelle,Manhattan,TRUE,flexible,Entire home/apt,2013,$577 ,$115 ,3,74,6/22/2019,3,1,374
1004650,61300605564,,Alberta,Brooklyn,FALSE,moderate,Private room,2015,$71 ,$14 ,45,49,10/05/2017,5,1,224
1005202,90821839709,unconfirmed,Emma,Brooklyn,FALSE,moderate,Private room,2009,"$1,060 ",$212 ,45,49,10/05/2017,5,1,219
1005754,79384379533,verified,Evelyn,Manhattan,TRUE,strict,Private room,2005,"$1,018 ",$204 ,2,430,6/24/2019,3,1,180
1006307,75527839483,unconfirmed,Carl,Manhattan,FALSE,strict,Private room,2015,$291 ,$58 ,2,118,7/21/2017,5,1,375
1006859,1280143094,verified,Miranda,Manhattan,FALSE,flexible,Entire home/apt,2004,$319 ,$64 ,1,160,06/09/2019,3,4,1
1007411,18824631834,verified,Alan,Manhattan,TRUE,flexible,Entire home/apt,2008,$606 ,$121 ,5,53,6/22/2019,4,1,163
1007964,88136055909,verified,,Manhattan,FALSE,strict,Private room,2008,$714 ,$143 ,2,188,6/23/2019,4,1,258
1008516,26802410424,verified,Darcy,brookln,TRUE,moderate,Private room,2010,$580 ,$116 ,4,167,6/24/2019,4,3,47
1009068,88920244552,verified,Leonardo,Manhattan,FALSE,flexible,Private room,2019,$149 ,$30 ,2,113,07/05/2019,3,1,68
1009621,46551725984,verified,Daniel,Manhattan,TRUE,flexible,Entire home/apt,2018,$578 ,,90,27,10/31/2018,3,1,100
1010173,62566345680,unconfirmed,Heather,Brooklyn,,moderate,Entire home/apt,2009,$778 ,,2,148,6/29/2019,3,1,197
1010725,80380130347,verified,Ryan,Brooklyn,,flexible,Entire home/apt,2006,$656 ,,2,198,6/28/2019,5,1,96
1011277,73862528370,verified,Alberta,manhatan,,moderate,Private room,2008,$460 ,,1,260,07/01/2019,3,1,325
1011830,72145018858,,Martin,Brooklyn,,moderate,Entire home/apt,2004,"$1,095 ",,3,53,6/22/2019,5,1,345
1012382,79805143117,verified,Audrey,Manhattan,,moderate,Entire home/apt,2013,$281 ,$56 ,7,0,,3,2,347
1012934,86554611512,verified,Alissa,Brooklyn,,flexible,Entire home/apt,2016,$477 ,$95 ,3,9,12/28/2021,3,1,193
1013487,53754237010,verified,Mary,Brooklyn,,moderate,Private room,2013,$133 ,$27 ,2,130,07/01/2019,4,6,54
1014039,87668933180,,William,Brooklyn,,moderate,Private room,2017,"$1,050 ",$210 ,1,39,01/01/2019,3,6,9
